name,country,city.pop,mean.range,mean.rain,mean.hum,mean.mean,cum.cases,max.b,avg.b,local.trans,mean.mean.sq
Dominican_Republic-Valverde,Dominican_Republic,11.30927812,9.639491163,3.023820106,80.69655522,26.84852527,125,21.00725883,1.894307291,1,720.8433093
Dominican_Republic-Maria_Trinidad_Sanchez,Dominican_Republic,11.2540511,7.358662614,-3.25,83.64133739,26.15805471,21,1.000024265,0.04255419,1,684.2438263
Dominican_Republic-San_Juan,Dominican_Republic,12.32526802,9.75903411,3.110096126,66.65653495,25.58763931,35,3.000386202,0.468128835,1,654.7272855
Dominican_Republic-Duarte,Dominican_Republic,12.16872897,7.358662614,-3.25,83.64133739,26.15805471,53,8.000823458,0.744756868,1,684.2438263
Dominican_Republic-Pedernales,Dominican_Republic,10.17359102,8.577507599,2.130767464,70.35866261,27.54103343,11,0,0,0,758.5085226
Dominican_Republic-La_Romana,Dominican_Republic,11.92412079,6.601823708,2.013230938,80.38601824,26.90577508,68,16.01295721,0.958758727,1,723.9207324
Dominican_Republic-La_Altagracia,Dominican_Republic,12.6241907,6.601823708,2.013230938,80.38601824,26.90577508,164,45.0515252,2.942834733,1,723.9207324
Dominican_Republic-Baoruco,Dominican_Republic,10.53230952,9.75903411,3.110096126,66.65653495,25.58763931,12,0,0,0,654.7272855
Dominican_Republic-Dajabon,Dominican_Republic,10.27038507,9.933130699,2.507057352,82.36474164,26.25835866,26,5.000880695,0.361837703,1,689.5013997
Dominican_Republic-Elias_Pina,Dominican_Republic,10.16880898,7.849544073,-3.25,64.39513678,28.79179331,8.000000005,0,0,0,828.9673622
Dominican_Republic-El_Seibo,Dominican_Republic,11.15662188,6.294708995,4.069562434,84.39285714,25.84140212,16,0,0,0,667.7780633
Dominican_Republic-Samana,Dominican_Republic,9.536545799,6.707559383,3.807898898,84.10587639,26.86175841,55,17.00481618,0.851290574,1,721.5540651
Dominican_Republic-Sanchez_Ramirez,Dominican_Republic,11.24993601,9.1626294,2.964440067,79.0984472,26.27125604,26,5.0016567,0.425629262,1,690.1788938
Dominican_Republic-Santiago-Rodriguez,Dominican_Republic,10.44842471,9.639491163,3.023820106,80.69655522,26.84852527,24,5.000641856,0.404311189,1,720.8433093
